SystemMillis,BMETemperature,BMEPressure,BMEApproximateAlt,BNO Quat W, BNO Quat X,BNO Quat Y,BNO Quat Z,BNO Gyro X,BNO Gyro Y,BNO Gyro Z,BNO Accel X,BNO Accel Y,BNO Accel Z,BNO_Grav_X,BNO_Grav_Y,BNO_Grav_Z,BNO CALIBRATION sys,BNOGyro,BNOAccel,BNOMagnitude,ALGOPos1,ALGOPos2,GPSHour,GPSmin,GPSsec,GPSmilli,GPSday,GPSmonth,GPSyear,GPSFix,GPSfixquality_3d,GPSLat,GPSlong,GPSSpeed,GPSAngle,GPSAlt,GPSSatNum
147719,30.76,831.65,1635.26,-0.0191,-0.7040,-0.0101,0.7098,8.75,-1.31,0.81,-9.85,0.10,0.48,-9.80,0.12,0.08,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
148220,30.74,831.73,1634.42,-0.0082,-0.7036,0.0047,0.7106,10.56,-0.31,-0.13,-9.81,-0.08,0.00,-9.80,0.17,0.09,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
148720,30.72,831.81,1633.67,0.0013,-0.7046,0.0142,0.7095,15.06,-1.69,0.00,-9.77,0.13,0.20,-9.80,0.17,0.06,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
149220,30.70,831.95,1632.28,0.0126,-0.7044,0.0244,0.7093,8.88,0.25,-0.44,-9.81,-0.07,-0.12,-9.80,0.16,0.06,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
149722,30.68,832.03,1631.53,0.0246,-0.7061,0.0320,0.7070,-0.69,-0.31,-0.81,-9.74,0.13,0.01,-9.80,0.10,0.01,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
150222,30.66,832.15,1630.39,0.0369,-0.7024,0.0399,0.7097,-4.81,0.25,-2.06,-9.81,-0.05,0.12,-9.80,0.04,0.09,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
150724,30.64,832.22,1629.63,0.0463,-0.7018,0.0457,0.7094,-7.75,-0.37,1.31,-9.80,0.25,-0.05,-9.80,0.00,0.10,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
151224,30.62,832.34,1628.52,0.0583,-0.6995,0.0566,0.7100,0.94,-0.37,-1.50,-9.68,-0.11,0.24,-9.80,-0.01,0.14,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
151725,30.61,832.42,1627.70,0.0626,-0.6995,0.0641,0.7090,4.94,0.37,-0.81,-9.77,0.17,-0.05,-9.80,0.03,0.12,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
152227,30.59,832.52,1626.77,0.0769,-0.6990,0.0831,0.7061,3.81,0.81,2.94,-9.84,0.02,0.21,-9.80,0.10,0.08,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
152727,30.58,832.62,1625.75,0.0801,-0.6986,0.0881,0.7056,7.81,0.06,-1.87,-9.70,-0.16,-0.12,-9.80,0.12,0.08,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
153228,30.56,832.74,1624.61,0.0694,-0.7018,0.0817,0.7042,11.69,0.56,-1.56,-9.77,0.55,-0.03,-9.80,0.17,0.01,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
153729,30.54,832.83,1623.76,0.0758,-0.7027,0.0839,0.7025,-3.56,0.75,0.81,-9.73,0.04,0.39,-9.80,0.11,-0.01,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
154230,30.52,832.90,1623.01,0.0713,-0.7038,0.0746,0.7029,2.62,-0.75,-2.62,-9.76,0.00,0.13,-9.80,0.04,-0.01,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
154730,30.51,833.04,1621.69,0.0638,-0.7022,0.0658,0.7061,-2.37,0.44,-0.19,-9.88,0.22,0.09,-9.80,0.03,0.05,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
155231,30.49,833.17,1620.43,0.0632,-0.7028,0.0615,0.7060,-1.50,-2.94,-0.62,-9.80,-0.20,0.03,-9.80,-0.02,0.05,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
155731,30.47,833.24,1619.68,0.0547,-0.7012,0.0520,0.7089,2.00,-0.13,-1.87,-9.79,0.15,0.45,-9.80,-0.02,0.10,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
156231,30.45,833.34,1618.75,0.0441,-0.7009,0.0446,0.7104,-6.75,-1.81,1.69,-9.66,0.21,-0.04,-9.80,0.01,0.13,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
156732,30.44,833.45,1617.67,0.0375,-0.7017,0.0342,0.7106,1.50,-0.25,0.56,-9.75,-0.03,0.26,-9.80,-0.03,0.12,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
157232,30.42,833.55,1616.68,0.0270,-0.7004,0.0278,0.7127,2.81,-0.13,-0.06,-9.84,0.27,0.00,-9.80,0.01,0.17,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
157733,30.40,833.64,1615.78,0.0192,-0.7041,0.0179,0.7096,11.63,0.50,-0.94,-9.68,-0.06,0.14,-9.80,-0.01,0.07,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
158234,30.38,833.74,1614.88,0.0082,-0.7042,0.0107,0.7099,-3.19,0.37,2.50,-9.77,0.18,0.24,-9.80,0.03,0.07,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
158734,30.36,833.83,1613.94,0.0051,-0.7051,0.0080,0.7091,-3.00,-0.37,2.06,-9.78,-0.28,0.10,-9.80,0.04,0.05,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
159234,30.34,833.91,1613.19,-0.0091,-0.7042,-0.0021,0.7099,-2.69,0.13,-1.44,-9.75,0.26,0.33,-9.80,0.09,0.07,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
159736,30.32,834.00,1612.30,-0.0181,-0.7043,-0.0078,0.7096,1.62,-0.13,2.00,-9.82,-0.02,-0.05,-9.80,0.14,0.07,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
160236,30.30,834.16,1610.79,-0.0276,-0.7052,-0.0168,0.7083,4.87,-0.75,0.69,-9.82,0.19,-0.06,-9.80,0.14,0.04,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
160736,30.29,834.24,1609.98,-0.0300,-0.7042,-0.0207,0.7091,6.75,1.75,-0.62,-9.65,-0.19,0.22,-9.80,0.12,0.07,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
161237,30.27,834.34,1609.00,-0.0470,-0.7040,-0.0375,0.7076,8.63,1.31,-1.94,-9.69,0.53,0.00,-9.80,0.12,0.05,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
161737,30.25,834.43,1608.15,-0.0508,-0.7031,-0.0482,0.7077,-10.13,0.31,-0.19,-9.72,0.02,0.28,-9.80,0.03,0.06,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
162237,30.23,834.52,1607.22,-0.0707,-0.7018,-0.0667,0.7057,-2.19,-0.31,-1.69,-9.86,0.44,-0.32,-9.80,0.05,0.05,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
162739,30.22,834.62,1606.29,-0.0741,-0.7014,-0.0699,0.7055,-4.69,0.88,0.19,-9.71,-0.06,0.22,-9.80,0.05,0.06,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
163239,30.20,834.76,1604.91,-0.0959,-0.6980,-0.0887,0.7040,-5.56,-0.81,-2.00,-9.80,0.13,-0.22,-9.80,0.08,0.09,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
163739,30.19,834.86,1603.92,-0.1009,-0.6971,-0.0970,0.7032,-14.38,-0.81,3.37,-9.88,0.11,-0.22,-9.80,0.04,0.09,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
164239,30.17,834.98,1602.80,-0.1159,-0.6945,-0.1083,0.7018,-9.94,-0.25,-2.00,-9.73,0.05,0.26,-9.80,0.08,0.11,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
164739,30.15,835.09,1601.74,-0.1292,-0.6926,-0.1216,0.6992,-18.69,-0.69,0.88,-9.70,0.15,0.08,-9.80,0.08,0.10,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
165239,30.14,835.18,1600.84,-0.1399,-0.6896,-0.1330,0.6980,-13.31,-0.81,-1.50,-9.71,0.06,0.44,-9.80,0.07,0.13,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
165740,30.12,835.26,1600.03,-0.1539,-0.6862,-0.1488,0.6953,-14.31,1.62,-0.81,-9.84,0.12,-0.24,-9.80,0.04,0.13,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
166241,30.11,835.37,1598.95,-0.1649,-0.6843,-0.1600,0.6920,8.06,0.25,-0.44,-9.76,0.03,-0.07,-9.80,0.04,0.11,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
166742,30.09,835.49,1597.76,-0.1783,-0.6812,-0.1709,0.6892,15.06,-1.62,1.75,-9.85,0.06,-0.07,-9.80,0.07,0.13,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
167242,30.08,835.58,1596.88,-0.1906,-0.6797,-0.1790,0.6852,8.63,0.13,0.69,-9.76,0.14,-0.01,-9.80,0.13,0.11,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
167742,30.06,835.68,1595.94,-0.2050,-0.6763,-0.1914,0.6811,-11.56,1.00,-0.69,-9.76,0.39,0.29,-9.80,0.16,0.11,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
